Date,Open,High,Low,Close,Adj Close,Volume
1979-03-01,96.279999,103.309998,95.980003,101.589996,101.589996,649800000
1979-04-01,101.559998,103.949997,100.139999,101.760002,101.760002,620650000
1979-05-01,101.760002,102.570000,97.489998,99.080002,99.080002,623740000
1979-06-01,99.080002,103.669998,98.570000,102.910004,102.910004,735710000
1979-07-01,102.910004,105.169998,100.349998,103.809998,103.809998,680740000
1979-08-01,103.809998,109.839996,103.139999,109.320000,109.320000,825050000
1979-09-01,109.320000,111.580002,105.379997,109.320000,109.320000,713940000
1979-10-01,109.190002,112.160004,99.059998,101.820000,101.820000,857930000
1979-11-01,101.820000,107.889999,99.419998,106.160004,106.160004,653650000
1979-12-01,106.160004,110.330002,105.070000,107.940002,107.940002,710210000
1980-01-01,107.940002,117.169998,103.260002,114.160004,114.160004,1158240000
1980-02-01,114.160004,120.220001,111.330002,113.660004,113.660004,956530000
1980-03-01,113.660004,114.339996,94.230003,102.089996,102.089996,876450000
1980-04-01,102.089996,106.790001,98.949997,106.290001,106.290001,674140000
1980-05-01,106.290001,112.720001,103.500000,111.239998,111.239998,764920000
1980-06-01,111.239998,117.980003,109.769997,114.239998,114.239998,829660000
1980-07-01,114.239998,123.930000,113.540001,121.669998,121.669998,1021770000
1980-08-01,121.669998,127.779999,119.419998,122.379997,122.379997,965660000
1980-09-01,122.379997,132.169998,121.790001,125.459999,125.459999,1057710000
1980-10-01,125.459999,135.880005,124.660004,127.470001,127.470001,1031790000
1980-11-01,127.470001,141.960007,127.230003,140.520004,140.520004,988110000
1980-12-01,140.520004,140.660004,125.320000,135.759995,135.759995,1025650000
1981-01-01,135.759995,140.320007,128.570007,129.550003,129.550003,955520000
1981-02-01,129.479996,132.020004,124.660004,131.270004,131.270004,816310000
1981-03-01,131.270004,138.380005,128.559998,136.000000,136.000000,1174530000
1981-04-01,136.000000,137.720001,131.580002,132.809998,132.809998,1123470000
1981-05-01,132.809998,134.919998,128.779999,132.589996,132.589996,905430000
1981-06-01,132.589996,135.669998,128.770004,131.210007,131.210007,1100970000
1981-07-01,131.210007,131.779999,125.959999,130.919998,130.919998,953970000
1981-08-01,130.919998,135.179993,122.290001,122.790001,122.790001,920550000
1981-09-01,122.790001,124.580002,110.190002,116.180000,116.180000,959140000
1981-10-01,116.180000,123.279999,115.000000,121.889999,121.889999,997560000
1981-11-01,122.349998,126.970001,119.129997,126.349998,126.349998,987920000
1981-12-01,126.349998,127.320000,121.040001,122.550003,122.550003,959470000
1982-01-01,122.550003,123.720001,113.629997,120.400002,120.400002,968340000
1982-02-01,119.809998,119.809998,110.029999,113.110001,113.110001,972190000
1982-03-01,113.110001,114.800003,104.459999,111.959999,111.959999,1268690000
1982-04-01,111.959999,119.330002,111.480003,116.440002,116.440002,1136490000
1982-05-01,115.959999,119.919998,111.660004,111.879997,111.879997,1026460000
1982-06-01,111.970001,112.480003,107.010002,109.610001,109.610001,1110530000
1982-07-01,109.519997,112.389999,105.570000,107.089996,107.089996,1145190000
1982-08-01,107.709999,120.260002,102.199997,119.510002,119.510002,1672770000
1982-09-01,119.519997,126.430000,117.839996,120.419998,120.419998,1548040000
1982-10-01,120.400002,140.399994,120.150002,133.720001,133.720001,2068560000
1982-11-01,133.720001,144.360001,132.889999,138.529999,138.529999,1857040000
1982-12-01,138.559998,143.679993,134.789993,140.639999,140.639999,1682080000
1983-01-01,140.649994,148.360001,138.080002,145.300003,145.300003,1857600000
1983-02-01,145.289993,150.880005,141.899994,148.059998,148.059998,1615450000
1983-03-01,148.070007,155.020004,148.070007,152.960007,152.960007,1901920000
1983-04-01,152.919998,164.429993,150.169998,164.429993,164.429993,1786870000
1983-05-01,164.410004,166.990005,160.289993,162.389999,162.389999,1953130000
1983-06-01,162.380005,171.600006,160.800003,167.639999,167.639999,1973860000
1983-07-01,168.110001,170.720001,161.500000,162.559998,162.559998,1590170000
1983-08-01,162.339996,165.910004,158.500000,164.399994,164.399994,1706430000
1983-09-01,164.399994,170.410004,163.949997,166.070007,166.070007,1739810000
1983-10-01,165.990005,172.649994,162.860001,163.550003,163.550003,1794620000
1983-11-01,163.550003,168.070007,161.630005,166.399994,166.399994,1814610000
1983-12-01,166.369995,166.770004,161.580002,164.929993,164.929993,1848860000
1984-01-01,164.929993,169.539993,162.029999,163.410004,163.410004,2215660000
1984-02-01,163.410004,164.000000,152.130005,157.059998,157.059998,1932810000
1984-03-01,157.059998,160.460007,153.770004,159.179993,159.179993,1854920000
1984-04-01,159.179993,160.690002,154.119995,160.050003,160.050003,1717530000
1984-05-01,160.050003,162.110001,148.679993,150.550003,150.550003,1939550000
1984-06-01,150.550003,155.639999,148.529999,153.179993,153.179993,1812870000
